,Hour,Minute,KWH/hh (per half hour),Season
100,0,0,0.1632965647092607,Autumn
101,0,30,0.1556406966376609,Autumn
102,1,0,0.1397606404031192,Autumn
103,1,30,0.1271296657322363,Autumn
104,2,0,0.1180303495086634,Autumn
105,2,30,0.1125761317056861,Autumn
106,3,0,0.1089307519748154,Autumn
107,3,30,0.1070625908801146,Autumn
108,4,0,0.1068365482109471,Autumn
109,4,30,0.1103573516502574,Autumn
110,5,0,0.1154796578073671,Autumn
111,5,30,0.1289961108143624,Autumn
112,6,0,0.1476462943087101,Autumn
113,6,30,0.1715265962950304,Autumn
114,7,0,0.1899677251659277,Autumn
115,7,30,0.2032924158689825,Autumn
116,8,0,0.2094618745074709,Autumn
117,8,30,0.2129237128066887,Autumn
118,9,0,0.2116001889256943,Autumn
119,9,30,0.2103655128664733,Autumn
121,10,0,0.2083009443217612,Autumn
122,10,30,0.2064224393898589,Autumn
123,11,0,0.205847753129637,Autumn
124,11,30,0.2072825046177661,Autumn
125,12,0,0.2080276970564052,Autumn
126,12,30,0.2092581928063652,Autumn
127,13,0,0.2079422769420807,Autumn
128,13,30,0.2054846556826101,Autumn
129,14,0,0.2032190114909121,Autumn
130,14,30,0.2031975613218413,Autumn
131,15,0,0.2066837038120663,Autumn
132,15,30,0.2157741131767218,Autumn
133,16,0,0.230759148460681,Autumn
134,16,30,0.2534082288386839,Autumn
135,17,0,0.2780487528032442,Autumn
136,17,30,0.3057134560461937,Autumn
137,18,0,0.3222372475734899,Autumn
139,18,30,0.3345879840487967,Autumn
140,19,0,0.3355520656666825,Autumn
141,19,30,0.3308018393540305,Autumn
142,20,0,0.3202332785187282,Autumn
143,20,30,0.3091024167698892,Autumn
144,21,0,0.2945097982701857,Autumn
145,21,30,0.2794738152862425,Autumn
146,22,0,0.2561205439025399,Autumn
147,22,30,0.2307068084536589,Autumn
148,23,0,0.2029127333780163,Autumn
149,23,30,0.1766378469365873,Autumn
