,Hour,Minute,KWH/hh (per half hour),Season
0,0,0,0.1787263940395465,Spring
1,0,30,0.175906452782731,Spring
2,1,0,0.1591620419392937,Spring
3,1,30,0.1447007152728254,Spring
4,2,0,0.1336595551422329,Spring
5,2,30,0.1269443952576169,Spring
6,3,0,0.1221365350778784,Spring
7,3,30,0.119303157146214,Spring
8,4,0,0.1186157203578516,Spring
9,4,30,0.1222500462378666,Spring
10,5,0,0.1283894643395574,Spring
11,5,30,0.1427487821913239,Spring
12,6,0,0.1611829229824136,Spring
13,6,30,0.184297875496027,Spring
14,7,0,0.2000705413068494,Spring
15,7,30,0.211149432697672,Spring
16,8,0,0.2176917089130658,Spring
17,8,30,0.2208830916234674,Spring
18,9,0,0.2201039219137578,Spring
19,9,30,0.218732021083134,Spring
20,10,0,0.2167936843055761,Spring
21,10,30,0.2159894743927015,Spring
22,11,0,0.2162658816418619,Spring
23,11,30,0.2186530453936545,Spring
24,12,0,0.219373629171755,Spring
25,12,30,0.2191956051745924,Spring
26,13,0,0.2159272127038989,Spring
27,13,30,0.2130151403536171,Spring
28,14,0,0.2099970883093033,Spring
29,14,30,0.2096516918223984,Spring
30,15,0,0.2120314818999707,Spring
31,15,30,0.2204537008238344,Spring
32,16,0,0.2300499683395822,Spring
33,16,30,0.2440214106754483,Spring
34,17,0,0.2567753335966881,Spring
35,17,30,0.27400465720063,Spring
36,18,0,0.287044481271873,Spring
39,18,30,0.30234445328027,Spring
40,19,0,0.3112033529806624,Spring
41,19,30,0.3168904874131871,Spring
42,20,0,0.3169911194291201,Spring
43,20,30,0.3135389277411289,Spring
44,21,0,0.3033724200594273,Spring
45,21,30,0.2895045556836542,Spring
46,22,0,0.2651722654554048,Spring
47,22,30,0.237425157180647,Spring
48,23,0,0.207606393482265,Spring
49,23,30,0.1803121594281521,Spring
