,Hour,Minute,KWH/hh (per half hour),Season
150,0,0,0.2343056725421111,Winter
151,0,30,0.2151456026892244,Winter
152,1,0,0.1907093417617864,Winter
153,1,30,0.1708257767045321,Winter
154,2,0,0.1556344848854599,Winter
155,2,30,0.1457626569421004,Winter
156,3,0,0.1385742453689594,Winter
157,3,30,0.1335209471051482,Winter
158,4,0,0.1299261565689898,Winter
159,4,30,0.1292059093199092,Winter
160,5,0,0.1304880034512595,Winter
161,5,30,0.1374574988239665,Winter
162,6,0,0.1474893921235484,Winter
163,6,30,0.1678301578259785,Winter
164,7,0,0.1885423179865049,Winter
165,7,30,0.2168398695827836,Winter
166,8,0,0.2396178468841893,Winter
167,8,30,0.2515449579508368,Winter
168,9,0,0.251453844316271,Winter
169,9,30,0.2520426382740894,Winter
170,10,0,0.2522599665850407,Winter
171,10,30,0.2517412923643043,Winter
172,11,0,0.2508548247465661,Winter
173,11,30,0.249815620813724,Winter
174,12,0,0.2517755030494499,Winter
175,12,30,0.2566749095825638,Winter
178,13,0,0.2585663744327027,Winter
179,13,30,0.2579165032877782,Winter
180,14,0,0.2553410059829094,Winter
181,14,30,0.2533117620728801,Winter
182,15,0,0.2534843768061068,Winter
195,15,30,0.2591077482194877,Winter
196,16,0,0.273126887724373,Winter
197,16,30,0.2990561597176451,Winter
198,17,0,0.3277859495404203,Winter
199,17,30,0.3567664630334901,Winter
200,18,0,0.3759644536448029,Winter
205,18,30,0.3926732621650842,Winter
206,19,0,0.3965024319245344,Winter
207,19,30,0.3931341699442268,Winter
208,20,0,0.3818182903957383,Winter
209,20,30,0.370549568330305,Winter
210,21,0,0.3580120353328159,Winter
211,21,30,0.3440016480082482,Winter
212,22,0,0.3253207463274623,Winter
213,22,30,0.3052195954358695,Winter
214,23,0,0.2748280548907675,Winter
215,23,30,0.2403390931682344,Winter
